k,class_subset,embedding,clustering,precision,recall,f1
2,"[0, 1]",logistic_regression,supervised,0.9446,0.9347,0.938
2,"[0, 2]",logistic_regression,supervised,0.8758,0.8417,0.8405
2,"[0, 3]",logistic_regression,supervised,0.9714,0.9333,0.9446
2,"[0, 4]",logistic_regression,supervised,0.9185,0.899,0.906
2,"[0, 5]",logistic_regression,supervised,0.8648,0.8524,0.8488
2,"[0, 6]",logistic_regression,supervised,0.9105,0.9299,0.9152
2,"[0, 7]",logistic_regression,supervised,0.8883,0.8722,0.8775
2,"[0, 8]",logistic_regression,supervised,0.8232,0.8,0.7946
2,"[0, 9]",logistic_regression,supervised,0.9407,0.9157,0.9148
2,"[0, 10]",logistic_regression,supervised,0.9637,0.9444,0.948
2,"[0, 11]",logistic_regression,supervised,0.9634,0.8857,0.9105
2,"[1, 2]",logistic_regression,supervised,0.8039,0.7038,0.7283
2,"[1, 3]",logistic_regression,supervised,0.8684,0.7978,0.8212
2,"[1, 4]",logistic_regression,supervised,0.8919,0.8377,0.8537
2,"[1, 5]",logistic_regression,supervised,0.8939,0.7816,0.8227
2,"[1, 6]",logistic_regression,supervised,0.929,0.8512,0.8831
2,"[1, 7]",logistic_regression,supervised,0.9548,0.8982,0.9211
2,"[1, 8]",logistic_regression,supervised,0.9933,0.75,0.8266
2,"[1, 9]",logistic_regression,supervised,0.918,0.7627,0.7959
2,"[1, 10]",logistic_regression,supervised,0.8942,0.8855,0.889
2,"[1, 11]",logistic_regression,supervised,0.9022,0.9114,0.9045
2,"[2, 3]",logistic_regression,supervised,0.93,0.9,0.9003
2,"[2, 4]",logistic_regression,supervised,0.8103,0.6067,0.6178
2,"[2, 5]",logistic_regression,supervised,0.7969,0.735,0.7338
2,"[2, 6]",logistic_regression,supervised,0.5894,0.6342,0.6079
2,"[2, 7]",logistic_regression,supervised,0.789,0.796,0.7829
2,"[2, 8]",logistic_regression,supervised,0.7417,0.7583,0.7364
2,"[2, 9]",logistic_regression,supervised,0.7883,0.7767,0.7679
2,"[2, 10]",logistic_regression,supervised,0.6702,0.7013,0.6824
2,"[2, 11]",logistic_regression,supervised,0.8123,0.7407,0.7494
2,"[3, 4]",logistic_regression,supervised,0.8584,0.7933,0.8006
2,"[3, 5]",logistic_regression,supervised,0.9548,0.9,0.9042
2,"[3, 6]",logistic_regression,supervised,0.9705,0.8333,0.8746
2,"[3, 7]",logistic_regression,supervised,0.9329,0.8262,0.8452
2,"[3, 8]",logistic_regression,supervised,0.715,0.75,0.7029
2,"[3, 9]",logistic_regression,supervised,0.9417,0.9083,0.9132
2,"[3, 10]",logistic_regression,supervised,0.8816,0.8333,0.8504
2,"[3, 11]",logistic_regression,supervised,0.9284,0.8549,0.8641
2,"[4, 5]",logistic_regression,supervised,0.8652,0.825,0.8369
2,"[4, 6]",logistic_regression,supervised,0.8137,0.8043,0.8035
2,"[4, 7]",logistic_regression,supervised,0.9017,0.8961,0.894
2,"[4, 8]",logistic_regression,supervised,0.8442,0.73,0.7576
2,"[4, 9]",logistic_regression,supervised,0.9068,0.91,0.9033
2,"[4, 10]",logistic_regression,supervised,0.914,0.9158,0.9101
2,"[4, 11]",logistic_regression,supervised,0.8477,0.8318,0.8335
2,"[5, 6]",logistic_regression,supervised,0.8785,0.7854,0.7989
2,"[5, 7]",logistic_regression,supervised,0.8768,0.8587,0.8572
2,"[5, 8]",logistic_regression,supervised,0.8964,0.825,0.8326
2,"[5, 9]",logistic_regression,supervised,0.8898,0.86,0.8594
2,"[5, 10]",logistic_regression,supervised,0.8749,0.85,0.855
2,"[5, 11]",logistic_regression,supervised,0.8157,0.7124,0.74
2,"[6, 7]",logistic_regression,supervised,0.9187,0.9157,0.9154
2,"[6, 8]",logistic_regression,supervised,0.6565,0.7104,0.6778
2,"[6, 9]",logistic_regression,supervised,0.8406,0.8246,0.8259
2,"[6, 10]",logistic_regression,supervised,0.8913,0.8848,0.8837
2,"[6, 11]",logistic_regression,supervised,0.8205,0.8081,0.8069
